franchise_id,name,image_url
1,The 100,https://cdn.poppriceguide.com/guide/charimg/The100.jpg
2,101 Dalmations,https://cdn.poppriceguide.com/guide/charimg/101Dalmations.jpg
3,21 Jump Street,https://cdn.poppriceguide.com/guide/charimg/21JumpStreet.jpg
4,300,https://cdn.poppriceguide.com/guide/charimg/300.jpg
5,A Bugs Life,https://cdn.poppriceguide.com/guide/charimg/ABugsLife.jpg
6,A Christmas Story,https://cdn.poppriceguide.com/guide/charimg/AChristmasStory.jpg
7,A Nightmare on Elm Street,https://cdn.poppriceguide.com/guide/charimg/ANightmareonElmStreet.jpg
8,A&W,https://cdn.poppriceguide.com/guide/charimg/AW.jpg
9,The A-Team,https://cdn.poppriceguide.com/guide/charimg/TheATeam.jpg
10,Aaahh!!! Real Monsters,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
11,Ace Ventura,https://cdn.poppriceguide.com/guide/charimg/AceVentura.jpg
12,Adventure Time,https://cdn.poppriceguide.com/guide/charimg/AdventureTime.jpg
13,Aladdin,https://cdn.poppriceguide.com/guide/charimg/Aladdin.jpg
14,Alias,https://cdn.poppriceguide.com/guide/charimg/Alias.jpg
15,Alice in Wonderland,https://cdn.poppriceguide.com/guide/charimg/AliceinWonderland.jpg
16,Alien,https://cdn.poppriceguide.com/guide/charimg/Alien.jpg
17,Aloha Plate,https://cdn.poppriceguide.com/guide/charimg/AlohaPlate.jpg
18,Amazing Thailand,https://cdn.poppriceguide.com/guide/charimg/AmazingThailand.jpg
19,American Horror Story,https://cdn.poppriceguide.com/guide/charimg/AmericanHorrorStory.jpg
20,American Psycho,https://cdn.poppriceguide.com/guide/charimg/AmericanPsycho.jpg
21,An American Werewolf in London,https://cdn.poppriceguide.com/guide/charimg/AnAmericanWerewolfinLondon.jpg
22,Anchorman,https://cdn.poppriceguide.com/guide/charimg/Anchorman.jpg
23,Angry Birds,https://cdn.poppriceguide.com/guide/charimg/AngryBirds.jpg
24,Animaniacs,https://cdn.poppriceguide.com/guide/charimg/Animaniacs.jpg
25,Arrested Development,https://cdn.poppriceguide.com/guide/charimg/ArrestedDevelopment.jpg
26,Arrow,https://cdn.poppriceguide.com/guide/charimg/Arrow.jpg
27,Ash Vs. Evil Dead,https://cdn.poppriceguide.com/guide/charimg/AshVsEvilDead.jpg
28,Assassins Creed,https://cdn.poppriceguide.com/guide/charimg/AssassinsCreed.jpg
29,Asterix & Obelix,https://cdn.poppriceguide.com/guide/charimg/AsterixObelix.jpg
30,Astro Boy,https://cdn.poppriceguide.com/guide/charimg/Astro Boy.jpg
31,Attack on Titan,https://cdn.poppriceguide.com/guide/charimg/AttackonTitan.jpg
32,Austin Powers,https://cdn.poppriceguide.com/guide/charimg/AustinPowers.jpg
33,BabyMetal,https://cdn.poppriceguide.com/guide/charimg/BabyMetal.jpg
34,Back to the Future,https://cdn.poppriceguide.com/guide/charimg/BacktotheFuture.jpg
35,Bambi,https://cdn.poppriceguide.com/guide/charimg/Bambi.jpg
36,Banana Splits,https://cdn.poppriceguide.com/guide/charimg/BananaSplits.jpg
37,Bananya,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
38,Barbie,https://cdn.poppriceguide.com/guide/charimg/Barbie.jpg
39,Batman (Character),https://cdn.poppriceguide.com/guide/charimg/Batman.jpg
40,Batman vs Superman: Dawn of Justice,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
41,Battlestar Galactica,https://cdn.poppriceguide.com/guide/charimg/BattlestarGalactica.jpg
42,Baywatch,https://cdn.poppriceguide.com/guide/charimg/Baywatch.jpg
43,Beauty & the Beast,https://cdn.poppriceguide.com/guide/charimg/BeautytheBeast.jpg
44,Beavis & Butthead,https://cdn.poppriceguide.com/guide/charimg/BeavisButthead.jpg
45,Beetlejuice,https://cdn.poppriceguide.com/guide/charimg/Beetlejuice.jpg
46,Ben 10,https://cdn.poppriceguide.com/guide/charimg/Ben10.jpg
47,Betty Boop,https://cdn.poppriceguide.com/guide/charimg/Betty Boop.jpg
48,The Big Bang Theory,https://cdn.poppriceguide.com/guide/charimg/TheBigBangTheory.jpg
49,Big Boy,https://cdn.poppriceguide.com/guide/charimg/BigBoy.jpg
50,Big Hero 6,https://cdn.poppriceguide.com/guide/charimg/Big-Hero-6.jpg
51,The Big Lebowski,https://cdn.poppriceguide.com/guide/charimg/TheBigLebowski.jpg
52,Big Trouble in Little China,https://cdn.poppriceguide.com/guide/charimg/Big-Trouble-in-Little-China.jpg
53,Bill & Teds Excellent Adventure,https://cdn.poppriceguide.com/guide/charimg/BillTedsExcellentAdventure.jpg
54,Bioshock,https://cdn.poppriceguide.com/guide/charimg/Bioshock.jpg
55,Black Butler,https://cdn.poppriceguide.com/guide/charimg/BlackButler.jpg
56,The Blacklist,https://cdn.poppriceguide.com/guide/charimg/TheBlacklist.jpg
57,Blade Runner 2049,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
58,Bleach,https://cdn.poppriceguide.com/guide/charimg/Bleach.jpg
59,Bobs Burgers,https://cdn.poppriceguide.com/guide/charimg/BobsBurgers.jpg
60,BoJack Horseman,https://cdn.poppriceguide.com/guide/charimg/BoJackHorseman.jpg
61,The Book of Life,https://cdn.poppriceguide.com/guide/charimg/The-Book-of-Life.jpg
62,The Boondock Saints,https://cdn.poppriceguide.com/guide/charimg/TheBoondockSaints.jpg
63,Borderlands,https://cdn.poppriceguide.com/guide/charimg/Borderlands.jpg
64,Boss Baby,https://cdn.poppriceguide.com/guide/charimg/BossBaby.jpg
65,Boxtrolls,https://cdn.poppriceguide.com/guide/charimg/Boxtrolls.jpg
66,Brave,https://cdn.poppriceguide.com/guide/charimg/Brave.jpg
