pop_id,name,franchise_name,franchise_id,category_name,category_id,price,item_number,image_url,release_date
1,Bellamy,The 100,1,Pop! Vinyl Pop! Television,1,$10.00,439,https://cdn.poppriceguide.com/guide/itmimg/thumb/9661_bellamy_1486626734.jpeg,Released 2017
2,Clarke,The 100,1,Pop! Vinyl Pop! Television,1,$11.00,438,https://cdn.poppriceguide.com/guide/itmimg/thumb/9660_clarke_1486626630.jpeg,Released 2017
3,Lexa,Chase Pieces,82,Pop! Vinyl Pop! Television,1,$27.00,442,https://cdn.poppriceguide.com/guide/itmimg/thumb/9664_lexa_1486627034.jpeg,Released 2017
4,Lexa (War Paint),The 100,1,Pop! Vinyl Pop! Television,1,$10.00,442,https://cdn.poppriceguide.com/guide/itmimg/thumb/9665_lexawarpaint_1486627120.jpeg,Released 2017
5,Lincoln,The 100,1,Pop! Vinyl Pop! Television,1,$12.00,443,https://cdn.poppriceguide.com/guide/itmimg/thumb/9666_lincoln_1486627273.jpeg,Released 2017
6,Lincoln (as Reaper),The 100,1,Pop! Vinyl Pop! Television,1,$140.00,474,https://cdn.poppriceguide.com/guide/itmimg/thumb/10831_lincolnasreaper_1497918876.jpg,Released 2017
7,Octavia,The 100,1,Pop! Vinyl Pop! Television,1,$11.00,440,https://cdn.poppriceguide.com/guide/itmimg/thumb/9662_octavia_1486626827.jpeg,Released 2017
8,Raven (The 100),The 100,1,Pop! Vinyl Pop! Television,1,$10.00,441,https://cdn.poppriceguide.com/guide/itmimg/thumb/9663_raven_1486626938.jpeg,Released 2017
9,Cruella de Vil,Disney,113,Mystery Minis Villains & Companions,2,$4.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7716_cruelladevil_1467384905.jpg,Released 2016
10,Patch,Disney,113,Mystery Minis Villains & Companions,2,$6.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7717_patch_1467385885.jpg,Released 2016
11,Cruella De Vil,Disney,113,Vinyl Disney,4,N/D,11,https://cdn.poppriceguide.com/guide/itmimg/thumb/11631_cruelladevil_1504380027.jpg,
12,Ursula with Cruella De Vil (2-Pack),Little Mermaid,255,Pop! Vinyl Pop! Disney,3,$33.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/9983_ursulawithcruelladevil2-pack_1489520277.jpg,Released 2017
13,Cruella De Vil (Flocked Coat),Disney,113,Vinyl Disney,4,N/D,,https://cdn.poppriceguide.com/guide/itmimg/thumb/11630_cruelladevilflockedcoat_1504379965.jpg,
14,Greg Jenko,21 Jump Street,3,Pop! Vinyl Pop! Movies,5,$5.00,174,https://cdn.poppriceguide.com/guide/itmimg/thumb/2554_gregjenko.jpg,Released 2015
15,Morton Schmidt,21 Jump Street,3,Pop! Vinyl Pop! Movies,5,$6.00,173,https://cdn.poppriceguide.com/guide/itmimg/thumb/2555_mortonschmidt.jpg,Released 2015
